DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Cow shark 1",117484,0.500000,Mk10,00:00:00 30-Jun-2013,GPE,-34.50000000,18.47839928,0.000000,0.250000,Archive,4.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 30-Jun-2013,GPE,-34.50000000,18.47839928,1.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 30-Jun-2013,GPE,-34.50000000,18.47839928,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 30-Jun-2013,GPE,-34.50000000,18.47839928,0.000000,0.250000,Archive,38.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 01-Jul-2013,GPE,-34.50000000,18.47839928,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 01-Jul-2013,GPE,-34.50000000,18.47839928,0.500000,0.250000,Archive,17.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 01-Jul-2013,GPE,-34.50000000,18.47839928,0.000000,0.250000,Archive,35.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 01-Jul-2013,GPE,-35.50000000,18.43734932,42.000000,0.250000,Archive,42.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 02-Jul-2013,GPE,-35.50000000,18.43734932,0.000000,0.250000,Archive,37.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 02-Jul-2013,GPE,-35.50000000,18.43734932,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 02-Jul-2013,GPE,-35.50000000,18.43734932,0.000000,0.250000,Archive,35.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 02-Jul-2013,GPE,-35.50000000,18.60346985,13.000000,0.250000,Archive,42.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 03-Jul-2013,GPE,-35.50000000,18.60346985,0.000000,0.250000,Archive,35.500000,0.250000,Archive
