DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 24-Jul-2013,6,GPE,-37.00000000,17.14538002,100.000000,14.081251,13.925001,14.225000,26.750000,14.03,14.03,14.03,13.93,-0.25,26.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 25-Jul-2013,6,GPE,-37.00000000,17.14538002,100.000000,13.787639,13.675001,14.075001,3.750000,13.86,13.86,13.86,13.68,-0.25,3.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 25-Jul-2013,6,,,,100.000000,13.584167,13.275001,13.875001,3.250000,13.57,13.57,13.57,13.28,-0.25,3.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 25-Jul-2013,6,,,,100.000000,13.817362,13.575001,14.075001,5.750000,13.79,13.79,13.79,13.58,-0.25,5.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 25-Jul-2013,6,,,,100.000000,13.925278,13.475000,14.125001,11.250000,13.75,13.75,13.75,13.48,-0.25,11.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 26-Jul-2013,6,,,,100.000000,13.749028,13.475000,13.925001,5.250000,13.55,13.55,13.55,13.48,-0.25,5.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 26-Jul-2013,6,,,,100.000000,13.673751,13.425001,13.825001,3.750000,13.55,13.55,13.55,13.43,-0.25,3.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 26-Jul-2013,6,,,,100.000000,13.719167,13.525001,13.925001,3.250000,13.70,13.70,13.70,13.53,-0.25,3.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 26-Jul-2013,6,,,,100.000000,13.792779,13.675001,13.925001,3.750000,13.81,13.81,13.81,13.68,-0.25,3.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 27-Jul-2013,6,,,,100.000000,13.761945,13.675001,13.875001,7.250000,13.71,13.71,13.71,13.68,-0.25,7.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 27-Jul-2013,6,,,,100.000000,13.778612,13.675001,13.875001,7.750000,,,,13.68,0.25,7.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 27-Jul-2013,6,,,,100.000000,13.825695,13.725000,13.875001,6.750000,,,,13.73,0.75,6.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 27-Jul-2013,6,,,,100.000000,13.765695,13.725000,13.825001,7.750000,,,,13.73,0.25,7.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 28-Jul-2013,6,,,,100.000000,13.716112,13.575001,13.775001,4.250000,13.69,13.69,13.69,13.58,-0.25,4.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 28-Jul-2013,6,,,,100.000000,13.570695,13.325001,13.675001,6.750000,13.51,13.51,13.51,13.33,-0.25,6.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 28-Jul-2013,6,,,,100.000000,13.578473,13.425001,13.675001,3.250000,13.58,13.58,13.58,13.43,-0.25,3.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 28-Jul-2013,6,,,,100.000000,13.718195,13.525001,13.825001,12.750000,13.60,13.60,13.60,13.53,-0.25,12.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 29-Jul-2013,6,,,,100.000000,13.643334,13.425001,13.825001,8.750000,13.54,13.54,13.54,13.43,-0.25,8.75
